location,temperature,charging_sessions_last_30d,firmware_version,cable_wear_indicator,voltage_instability_index,maintenance_type,next_maintenance_days
Location D,25.14,58,v1.0,0.38,1.03,Software Update/Reset,15.84
Location B,35.12,53,v1.1,0.74,0.6,Software Update/Reset,31.79
Location D,32.6,61,v2.0,0.03,2.09,No Maintenance Needed,316.57
Location A,32.01,67,v1.0,0.69,0.47,Software Update/Reset,11.53
Location D,28.4,65,v1.2,0.93,0.17,Cable Inspection/Replacement,9.13
Location D,28.06,56,v2.1,0.38,1.47,No Maintenance Needed,196.85
Location A,22.72,57,v2.0,0.02,1.58,No Maintenance Needed,218.84
Location B,33.59,52,v1.2,0.03,1.23,No Maintenance Needed,286.8
Location A,31.37,54,v2.1,0.89,0.52,Cable Inspection/Replacement,17.23
Location D,31.94,59,v1.2,0.72,0.97,No Maintenance Needed,253.59
Location B,23.79,53,v1.0,0.11,0.87,Software Update/Reset,30.23
Location D,10.77,51,v2.1,0.05,0.76,No Maintenance Needed,234.49
Location A,36.78,67,v2.0,0.8,2.03,No Maintenance Needed,263.19
Location A,24.17,65,v1.2,0.81,0.59,No Maintenance Needed,238.66
Location D,21.1,68,v2.0,0.12,1.17,No Maintenance Needed,349.37
Location C,33.55,52,v2.0,0.3,1.82,No Maintenance Needed,214.05
Location C,24.86,50,v1.1,0.78,1.21,Software Update/Reset,23.42
Location A,36.48,59,v1.1,0.53,1.86,Software Update/Reset,10.77
Location A,32.94,66,v1.2,0.96,1.33,Cable Inspection/Replacement,5.61
Location C,33.47,64,v2.1,0.48,1.24,No Maintenance Needed,308.83
Location C,17.07,56,v1.0,0.68,1.2,Software Update/Reset,35.8
Location D,37.7,69,v2.0,0.51,1.36,Connector Cleaning/Repair,37.44
Location D,30.09,54,v1.0,0.94,0.82,Cable Inspection/Replacement,16.92
Location C,25.05,67,v1.2,0.4,0.52,No Maintenance Needed,224.91
Location D,29.15,56,v2.0,0.23,1.61,No Maintenance Needed,236.46
Location D,13.79,60,v2.0,0.33,1.79,No Maintenance Needed,362.82
Location B,31.27,53,v1.0,0.85,1.13,Software Update/Reset,42.49
Location D,19.77,52,v1.2,0.5,0.76,No Maintenance Needed,301.32
Location A,17.18,74,v2.0,0.35,0.46,Connector Cleaning/Repair,21.93
Location D,15.82,71,v1.0,0.54,1.04,Software Update/Reset,32.67
Location D,36.9,63,v1.1,0.13,0.51,Software Update/Reset,43.22
Location C,22.97,66,v2.0,0.01,0.47,No Maintenance Needed,196.26
Location A,40.27,52,v2.0,0.28,0.99,No Maintenance Needed,266.52
Location D,23.71,67,v1.1,0.61,0.68,Software Update/Reset,22.21
Location D,14.34,58,v2.0,0.71,1.19,No Maintenance Needed,337.8
Location B,19.07,57,v2.1,0.83,0.92,No Maintenance Needed,310.17
Location D,37.89,61,v1.0,0.93,0.74,Cable Inspection/Replacement,11.58
Location D,26.75,47,v2.0,0.41,0.43,No Maintenance Needed,264.57
Location B,23.61,60,v1.0,0.74,0.65,Software Update/Reset,30.79
Location C,29.28,54,v1.0,0.07,0.66,Software Update/Reset,26.79
Location D,32.01,60,v1.1,0.06,0.54,Software Update/Reset,19.78
Location B,36.94,74,v1.2,0.12,0.85,Connector Cleaning/Repair,46.87
Location A,39.59,58,v2.0,0.45,0.56,No Maintenance Needed,361.61
Location C,25.12,67,v1.1,0.21,0.92,Software Update/Reset,15.96
Location A,17.39,50,v2.0,0.29,1.13,No Maintenance Needed,262.83
Location A,24.69,61,v1.2,0.65,0.66,No Maintenance Needed,204.97
Location B,30.08,66,v1.1,0.36,1.24,Software Update/Reset,10.13
Location D,20.29,49,v2.0,0.56,0.51,No Maintenance Needed,180.23
Location B,20.34,54,v2.0,0.41,0.57,No Maintenance Needed,295.55
Location B,30.75,62,v2.0,0.17,0.94,No Maintenance Needed,333.41
Location B,27.61,57,v2.0,0.07,1.41,No Maintenance Needed,361.76
Location B,28.26,63,v1.2,0.24,1.54,No Maintenance Needed,273.55
Location C,21.93,64,v2.0,0.06,2.24,No Maintenance Needed,258.36
Location D,26.16,60,v1.1,0.62,0.83,Software Update/Reset,11.97
Location A,20.61,59,v2.0,0.8,0.94,No Maintenance Needed,278.76
Location A,35.12,67,v2.1,0.34,0.6,No Maintenance Needed,184.43
Location D,36.28,58,v1.0,0.39,0.53,Software Update/Reset,34.8
Location A,13.23,49,v1.2,0.82,1.12,No Maintenance Needed,302.51
Location D,20.56,71,v2.0,0.22,0.68,Connector Cleaning/Repair,59.5
Location A,16.03,65,v2.0,0.12,1.85,No Maintenance Needed,271.32
Location B,22.8,55,v1.1,0.5,0.48,Software Update/Reset,26.45
Location A,27.33,49,v2.1,0.65,1.28,No Maintenance Needed,330.59
Location D,16.4,69,v2.0,0.6,0.6,Connector Cleaning/Repair,28.88
Location D,20.63,62,v1.1,0.71,0.66,Software Update/Reset,21.87
Location D,19.97,44,v1.0,0.06,1.31,Software Update/Reset,12.81
Location D,29.66,70,v2.0,0.43,0.71,Connector Cleaning/Repair,57.31
Location D,28.55,46,v1.0,0.24,0.77,Software Update/Reset,16.38
Location C,22.23,56,v1.1,0.76,0.67,Software Update/Reset,35.09
Location C,29.41,69,v2.0,0.87,2.44,Power Supply Unit Fault,2.28
Location A,23.63,75,v2.0,0.28,0.73,Connector Cleaning/Repair,37.67
Location D,25.83,64,v2.0,0.1,1.03,No Maintenance Needed,323.25
Location A,41.39,58,v1.2,0.25,0.9,No Maintenance Needed,203.29
Location D,38.72,73,v2.0,0.1,1.12,Connector Cleaning/Repair,28.92
Location D,17.6,55,v2.1,0.32,0.74,No Maintenance Needed,315.95
Location C,34.64,54,v1.1,0.54,0.9,Software Update/Reset,30.05
Location C,34.49,62,v2.0,0.97,1.22,Cable Inspection/Replacement,19.89
Location B,18.81,44,v2.1,0.4,0.65,No Maintenance Needed,348.66
Location C,34.55,65,v2.0,0.22,1.72,No Maintenance Needed,227.26
Location B,40.3,58,v2.0,0.17,1.81,No Maintenance Needed,332.47
Location B,19.02,57,v1.1,0.17,1.35,Software Update/Reset,30.46
Location B,20.66,71,v2.0,0.19,1.04,Connector Cleaning/Repair,29.44
Location B,36.14,52,v2.0,0.76,0.22,No Maintenance Needed,195.25
Location B,30.17,65,v2.0,0.06,1.24,No Maintenance Needed,309.61
Location A,32.41,68,v2.1,1.0,0.82,Cable Inspection/Replacement,5.43
Location C,30.72,65,v1.0,0.52,0.88,Software Update/Reset,10.48
Location B,31.13,65,v1.0,0.54,0.39,Software Update/Reset,21.37
Location D,17.39,68,v1.0,0.36,1.28,Software Update/Reset,33.13
Location C,36.38,51,v2.0,0.69,0.48,No Maintenance Needed,247.77
Location C,37.36,73,v1.1,0.47,1.06,Software Update/Reset,38.2
Location B,26.16,69,v2.0,0.33,1.57,Connector Cleaning/Repair,23.74
Location A,27.65,51,v1.2,0.27,0.79,No Maintenance Needed,297.15
Location B,15.75,56,v1.2,0.93,1.84,Cable Inspection/Replacement,17.3
Location A,32.11,48,v1.1,0.29,0.69,Software Update/Reset,31.41
Location D,32.58,59,v2.0,0.44,1.35,No Maintenance Needed,213.33
Location C,27.5,49,v2.0,0.35,0.52,No Maintenance Needed,310.15
Location D,36.99,55,v2.1,0.09,1.67,No Maintenance Needed,354.88
Location A,25.33,62,v2.0,0.19,1.55,No Maintenance Needed,251.76
Location A,32.52,61,v1.1,0.19,1.26,Software Update/Reset,35.94
Location D,19.84,68,v1.1,0.69,0.82,Software Update/Reset,10.69
Location A,27.81,53,v2.1,0.41,0.5,No Maintenance Needed,241.88
Location D,26.61,55,v2.0,0.78,0.82,No Maintenance Needed,361.68
Location C,29.8,59,v1.0,0.71,1.74,Software Update/Reset,13.32
Location D,25.04,70,v2.0,0.19,1.07,Connector Cleaning/Repair,43.84
Location C,26.95,75,v1.2,0.56,0.46,Connector Cleaning/Repair,57.19
Location D,34.61,55,v1.2,0.74,0.57,No Maintenance Needed,213.1
Location A,24.51,56,v1.1,0.63,1.87,Software Update/Reset,25.16
Location D,15.15,60,v2.0,0.6,1.28,No Maintenance Needed,257.21
Location A,42.0,60,v1.0,0.74,0.54,Software Update/Reset,34.23
Location D,39.05,57,v1.1,0.06,0.41,Software Update/Reset,11.36
Location D,17.66,51,v1.2,0.73,0.73,No Maintenance Needed,180.24
Location B,33.52,66,v1.1,0.27,0.4,Software Update/Reset,44.35
Location A,23.98,64,v2.0,0.57,0.93,No Maintenance Needed,229.63
Location B,30.11,62,v1.0,0.24,3.41,Power Supply Unit Fault,6.65
Location A,30.35,60,v1.2,0.84,0.45,No Maintenance Needed,239.14
Location B,26.12,60,v2.1,0.48,0.91,No Maintenance Needed,263.38
Location C,21.73,65,v1.2,0.64,1.93,No Maintenance Needed,263.19
Location D,22.48,66,v1.2,0.79,1.45,No Maintenance Needed,297.02
Location A,20.67,79,v1.2,0.9,0.93,Cable Inspection/Replacement,6.33
Location A,21.35,59,v2.0,0.73,0.93,No Maintenance Needed,361.68
Location D,27.46,60,v2.0,0.15,0.56,No Maintenance Needed,344.2
Location A,22.27,77,v1.1,0.85,0.87,Software Update/Reset,22.0
Location A,33.46,57,v2.0,0.62,1.13,No Maintenance Needed,275.46
Location B,39.9,56,v2.0,0.61,1.74,No Maintenance Needed,257.07
Location A,23.36,70,v2.0,0.92,0.73,Cable Inspection/Replacement,8.38
Location C,29.92,56,v1.0,0.25,0.91,Software Update/Reset,29.33
Location C,32.0,59,v1.0,0.24,0.62,Software Update/Reset,17.2
Location D,31.78,59,v2.0,0.51,1.12,No Maintenance Needed,251.51
Location A,28.61,50,v2.0,0.75,1.48,No Maintenance Needed,246.32
Location D,33.94,58,v2.0,0.45,1.37,No Maintenance Needed,211.0
Location C,31.86,57,v1.1,0.63,0.56,Software Update/Reset,22.72
Location A,18.1,52,v1.0,0.45,1.08,Software Update/Reset,38.64
Location A,34.95,59,v2.0,0.61,0.71,No Maintenance Needed,254.37
Location D,35.1,66,v2.0,0.82,1.66,No Maintenance Needed,232.74
Location C,21.89,71,v1.1,0.18,0.92,Software Update/Reset,14.01
Location A,28.3,74,v1.0,0.7,0.47,Software Update/Reset,40.7
Location D,33.47,60,v1.2,0.79,0.9,No Maintenance Needed,297.84
Location C,26.33,48,v2.0,0.45,1.26,No Maintenance Needed,233.06
Location D,36.58,52,v2.0,0.32,1.13,No Maintenance Needed,339.62
Location B,46.91,72,v2.0,0.01,0.77,Connector Cleaning/Repair,47.14
Location A,21.71,66,v2.0,0.8,0.75,No Maintenance Needed,308.69
Location B,16.95,63,v1.1,0.33,0.61,Software Update/Reset,34.34
Location C,30.43,70,v2.0,0.36,0.82,Connector Cleaning/Repair,26.04
Location B,33.77,64,v2.1,0.34,0.65,No Maintenance Needed,180.89
Location B,26.15,71,v2.1,0.5,1.62,Connector Cleaning/Repair,59.41
Location C,39.63,61,v2.0,0.7,0.64,No Maintenance Needed,193.42
Location D,17.29,73,v1.2,0.77,1.06,Connector Cleaning/Repair,41.41
Location B,33.54,53,v2.0,0.39,1.03,No Maintenance Needed,278.39
Location D,23.15,66,v2.0,0.66,1.6,No Maintenance Needed,262.83
Location B,41.76,53,v2.0,0.72,1.72,No Maintenance Needed,300.28
Location D,43.94,68,v1.1,0.3,1.42,Software Update/Reset,33.11
Location C,21.87,72,v2.1,0.1,1.19,Connector Cleaning/Repair,49.46
Location B,23.6,60,v1.2,0.89,0.59,Cable Inspection/Replacement,13.73
Location C,34.88,59,v1.1,0.68,0.59,Software Update/Reset,15.97
Location B,24.9,61,v1.1,0.65,0.66,Software Update/Reset,40.03
Location C,27.64,54,v2.0,0.06,1.46,No Maintenance Needed,286.46
Location C,28.2,62,v1.2,0.82,1.04,No Maintenance Needed,272.79
Location B,12.64,51,v1.0,0.57,1.54,Software Update/Reset,38.58
Location B,27.89,64,v2.0,0.85,1.65,No Maintenance Needed,329.56
Location B,22.48,60,v2.0,0.97,0.7,Cable Inspection/Replacement,12.04
Location A,24.06,75,v2.0,0.96,1.02,Cable Inspection/Replacement,19.49
Location D,39.55,63,v1.1,0.86,0.99,Software Update/Reset,11.87
Location A,17.95,53,v2.0,0.01,0.85,No Maintenance Needed,263.46
Location A,34.51,62,v1.0,0.89,0.77,Software Update/Reset,13.84
Location C,25.77,64,v1.2,0.08,1.81,No Maintenance Needed,209.36
Location B,25.76,65,v1.2,0.85,1.03,No Maintenance Needed,268.38
Location D,34.32,66,v2.0,0.28,1.01,No Maintenance Needed,306.95
Location C,30.72,53,v1.2,0.61,0.67,No Maintenance Needed,284.06
Location A,32.56,57,v1.0,0.04,1.4,Software Update/Reset,17.52
Location B,35.75,68,v1.2,0.77,0.6,No Maintenance Needed,320.71
Location C,25.35,62,v1.2,0.11,1.26,No Maintenance Needed,345.75
Location B,23.1,54,v2.1,0.41,1.27,No Maintenance Needed,182.22
Location C,19.32,65,v2.1,0.82,0.81,No Maintenance Needed,279.49
Location B,21.4,54,v1.1,0.7,1.17,Software Update/Reset,40.74
Location A,51.59,56,v1.1,0.01,1.1,Software Update/Reset,28.99
Location D,37.96,54,v1.1,0.4,0.98,Software Update/Reset,40.61
Location A,17.19,65,v2.0,0.04,1.01,No Maintenance Needed,238.49
Location D,17.42,48,v1.0,0.67,1.03,Software Update/Reset,26.87
Location B,31.85,48,v1.1,0.97,1.07,Cable Inspection/Replacement,16.91
Location C,32.38,48,v2.0,0.66,1.03,No Maintenance Needed,283.68
Location A,32.39,71,v1.1,0.22,0.58,Software Update/Reset,26.13
Location D,25.96,46,v1.0,0.36,0.93,Software Update/Reset,21.13
Location A,27.0,60,v1.2,0.98,1.14,Cable Inspection/Replacement,6.95
Location D,30.62,62,v1.1,0.22,1.05,Software Update/Reset,34.97
Location A,28.69,63,v2.0,0.56,1.61,No Maintenance Needed,214.75
Location D,10.25,40,v2.1,0.4,1.36,No Maintenance Needed,231.6
Location D,26.16,49,v1.1,0.77,0.65,Software Update/Reset,32.73
Location B,21.19,61,v1.2,0.87,0.92,No Maintenance Needed,313.17
Location D,29.4,74,v2.1,0.34,0.86,Connector Cleaning/Repair,51.62
Location B,51.88,63,v2.0,0.66,1.0,No Maintenance Needed,238.97
Location D,30.94,67,v1.2,0.55,1.0,No Maintenance Needed,323.86
Location C,25.49,70,v2.0,0.28,1.36,Connector Cleaning/Repair,56.5
Location C,35.37,71,v1.0,0.27,1.09,Software Update/Reset,14.15
Location C,31.86,55,v2.0,0.54,1.85,No Maintenance Needed,288.09
Location D,31.36,67,v2.1,0.15,1.13,No Maintenance Needed,208.4
Location B,32.85,53,v2.0,0.81,0.66,No Maintenance Needed,331.67
Location B,44.45,72,v1.2,0.07,0.79,Connector Cleaning/Repair,55.76
Location D,18.95,61,v1.1,0.09,1.35,Software Update/Reset,18.07
Location C,31.79,59,v2.0,0.34,0.45,No Maintenance Needed,359.81
Location C,20.59,73,v2.0,0.12,0.51,Connector Cleaning/Repair,24.73
Location B,32.44,58,v2.0,0.48,1.01,No Maintenance Needed,232.19
Location C,20.65,60,v1.0,0.4,1.61,Software Update/Reset,41.41
Location A,24.66,60,v2.0,0.72,1.92,No Maintenance Needed,278.24
Location B,25.64,60,v2.0,0.95,0.9,Cable Inspection/Replacement,8.8
Location C,35.81,52,v1.1,0.75,1.7,Software Update/Reset,44.43
Location B,35.35,66,v1.1,0.18,1.04,Software Update/Reset,42.4
Location A,18.03,63,v1.1,0.94,0.47,Cable Inspection/Replacement,10.85
Location B,28.44,64,v2.0,0.39,1.0,No Maintenance Needed,236.62
Location B,22.32,57,v2.0,0.47,0.73,No Maintenance Needed,345.95
Location B,17.93,63,v2.0,0.42,1.58,No Maintenance Needed,253.59
Location B,26.26,51,v1.1,0.28,0.99,Software Update/Reset,17.85
Location A,25.53,63,v2.1,0.9,0.53,Cable Inspection/Replacement,7.86
Location D,47.41,65,v2.0,0.33,0.47,No Maintenance Needed,340.94
Location B,31.46,52,v1.2,0.58,0.99,No Maintenance Needed,239.44
Location B,16.98,60,v1.0,0.24,0.3,Software Update/Reset,18.97
Location C,23.48,55,v1.1,0.8,0.77,Software Update/Reset,29.96
Location B,36.17,51,v2.1,0.77,1.12,No Maintenance Needed,268.17
Location C,44.71,67,v1.2,0.3,0.59,No Maintenance Needed,331.21
Location D,15.31,49,v1.2,0.68,1.64,No Maintenance Needed,218.13
Location A,12.96,72,v1.1,0.7,1.81,Software Update/Reset,16.44
Location A,42.97,63,v2.0,0.56,0.6,No Maintenance Needed,226.09
Location D,31.12,61,v1.1,0.6,0.86,Software Update/Reset,43.4
Location A,21.05,64,v1.2,0.57,1.64,No Maintenance Needed,322.52
Location D,32.28,81,v1.2,0.08,1.0,Connector Cleaning/Repair,42.1
Location D,6.91,65,v1.2,0.67,0.5,No Maintenance Needed,234.83
Location D,28.03,52,v1.2,0.47,0.93,No Maintenance Needed,346.87
Location A,30.62,60,v2.0,0.44,0.65,No Maintenance Needed,303.86
Location C,35.39,70,v2.0,0.86,1.74,Connector Cleaning/Repair,50.36
Location D,19.89,67,v2.0,0.02,1.35,No Maintenance Needed,214.76
Location B,28.69,67,v2.0,0.25,0.85,No Maintenance Needed,211.38
Location A,20.6,69,v1.1,0.12,1.07,Software Update/Reset,39.85
Location D,30.04,61,v2.0,0.04,0.52,No Maintenance Needed,265.76
Location D,20.84,59,v1.1,0.28,0.69,Software Update/Reset,43.76
Location B,24.74,51,v1.1,0.99,2.17,Cable Inspection/Replacement,17.9
Location C,20.03,65,v2.1,0.27,1.03,No Maintenance Needed,331.61
Location C,33.21,75,v2.0,0.66,1.59,Connector Cleaning/Repair,45.19
Location C,34.87,62,v2.0,0.12,1.12,No Maintenance Needed,238.53
Location D,26.12,70,v2.0,0.6,1.93,Connector Cleaning/Repair,53.01
Location D,28.31,64,v2.1,0.98,0.37,Cable Inspection/Replacement,17.17
Location D,16.41,68,v2.0,0.29,0.91,No Maintenance Needed,256.98
Location A,25.6,59,v2.0,0.85,2.28,Power Supply Unit Fault,3.39
Location B,27.6,55,v2.0,1.0,1.61,Cable Inspection/Replacement,5.44
Location D,48.97,57,v1.1,0.59,1.94,Software Update/Reset,13.12
Location B,19.1,73,v1.1,0.31,1.0,Software Update/Reset,36.53
Location B,39.71,63,v2.0,0.67,0.76,No Maintenance Needed,322.11
Location C,35.97,57,v1.2,0.84,0.6,No Maintenance Needed,234.67
Location A,30.25,58,v1.1,0.17,0.58,Software Update/Reset,21.59
Location D,42.07,74,v1.2,0.45,1.5,Connector Cleaning/Repair,49.81
Location C,30.98,49,v1.2,0.32,1.29,No Maintenance Needed,325.97
Location C,31.11,58,v2.1,0.28,0.97,No Maintenance Needed,285.95
Location D,27.58,63,v2.0,0.86,1.29,No Maintenance Needed,181.22
Location B,37.79,60,v2.0,0.42,1.07,No Maintenance Needed,275.23
Location C,36.77,56,v2.1,0.34,1.62,No Maintenance Needed,307.5
Location B,22.99,70,v2.1,0.6,1.61,Connector Cleaning/Repair,25.07
Location A,17.45,54,v2.0,0.22,0.59,No Maintenance Needed,232.1
Location B,26.38,72,v2.1,0.23,1.15,Connector Cleaning/Repair,31.16
Location A,21.6,72,v1.2,0.52,0.43,Connector Cleaning/Repair,25.87
Location B,27.49,78,v1.1,0.41,1.07,Software Update/Reset,13.84
Location C,37.9,65,v1.1,0.29,1.35,Software Update/Reset,27.28
Location C,24.34,59,v2.0,0.05,0.52,No Maintenance Needed,294.84
Location A,27.66,65,v2.0,0.52,0.81,No Maintenance Needed,315.93
Location D,28.46,61,v2.0,0.82,1.0,No Maintenance Needed,217.51
Location A,34.79,79,v2.0,0.85,1.12,Connector Cleaning/Repair,28.76
Location A,10.02,52,v1.0,0.24,0.87,Software Update/Reset,26.55
Location B,23.15,58,v1.0,0.6,0.56,Software Update/Reset,33.95
Location B,29.69,60,v2.0,0.86,0.97,No Maintenance Needed,181.11
Location A,37.6,65,v1.1,0.41,0.44,Software Update/Reset,43.68
Location C,24.06,47,v2.0,0.93,0.89,Cable Inspection/Replacement,12.2
Location B,12.99,51,v2.0,0.9,0.8,Cable Inspection/Replacement,6.67
Location D,32.96,54,v2.0,0.21,0.94,No Maintenance Needed,354.88
Location B,22.92,56,v1.2,0.26,0.76,No Maintenance Needed,259.91
Location B,18.48,50,v2.0,0.18,0.47,No Maintenance Needed,200.26
Location D,23.01,50,v2.0,0.2,0.83,No Maintenance Needed,295.29
Location A,26.52,72,v2.1,0.91,1.59,Cable Inspection/Replacement,13.77
Location D,23.16,60,v2.0,0.93,1.88,Cable Inspection/Replacement,16.74
Location A,10.36,60,v2.0,0.05,3.39,Power Supply Unit Fault,1.94
Location A,35.18,62,v1.1,0.59,2.33,Power Supply Unit Fault,6.59
Location A,38.2,49,v2.0,0.56,0.55,No Maintenance Needed,297.88
Location D,33.21,58,v2.1,0.39,0.82,No Maintenance Needed,276.75
Location A,18.9,67,v1.1,0.63,0.99,Software Update/Reset,25.82
Location C,26.39,48,v1.1,0.95,0.96,Cable Inspection/Replacement,14.62
Location D,27.95,68,v1.1,0.17,1.04,Software Update/Reset,33.8
Location C,32.79,62,v2.0,0.12,3.33,Power Supply Unit Fault,1.29
Location A,33.35,57,v1.2,0.03,0.58,No Maintenance Needed,218.08
Location B,22.13,60,v1.0,0.36,0.7,Software Update/Reset,34.55
Location A,28.66,52,v2.0,0.34,2.27,Power Supply Unit Fault,5.0
Location C,31.66,68,v2.0,0.43,0.73,No Maintenance Needed,210.54
Location C,39.65,67,v1.2,0.5,1.22,No Maintenance Needed,188.95
Location D,33.64,54,v1.2,0.76,1.68,No Maintenance Needed,211.23
Location B,34.31,71,v1.1,0.39,1.28,Software Update/Reset,38.18
Location D,28.67,71,v1.2,0.33,1.1,Connector Cleaning/Repair,44.32
Location C,39.28,63,v1.2,0.83,1.6,No Maintenance Needed,217.51
Location A,31.28,60,v2.0,0.85,0.64,No Maintenance Needed,329.02
Location B,21.11,60,v2.0,0.23,0.78,No Maintenance Needed,291.9
Location A,39.23,51,v2.0,0.31,1.31,No Maintenance Needed,226.14
Location A,33.58,51,v1.1,0.83,0.36,Software Update/Reset,16.11
Location B,24.46,85,v2.0,0.08,2.03,Connector Cleaning/Repair,42.5
Location D,24.16,54,v2.0,0.33,1.16,No Maintenance Needed,299.58
Location A,30.37,62,v1.0,0.45,1.08,Software Update/Reset,31.44
Location C,31.71,67,v1.0,0.19,0.44,Software Update/Reset,13.84
Location A,29.58,54,v2.0,0.18,0.53,No Maintenance Needed,238.03
Location B,30.49,75,v2.0,0.42,0.82,Connector Cleaning/Repair,37.58
Location B,41.6,65,v1.1,0.75,1.5,Software Update/Reset,32.88
Location B,36.57,58,v2.0,0.84,0.35,No Maintenance Needed,343.6
Location D,29.53,52,v2.0,0.98,1.48,Cable Inspection/Replacement,5.33
Location A,35.53,62,v2.1,0.07,0.84,No Maintenance Needed,181.8
Location D,19.74,56,v1.1,0.22,0.89,Software Update/Reset,39.48
Location D,31.18,51,v2.0,0.76,1.14,No Maintenance Needed,305.71
Location B,42.47,63,v1.0,0.54,1.14,Software Update/Reset,14.62
Location B,26.26,72,v2.0,0.33,0.7,Connector Cleaning/Repair,27.9
Location D,21.22,55,v2.0,0.21,1.37,No Maintenance Needed,257.32
Location A,22.78,59,v1.2,0.28,0.31,No Maintenance Needed,314.67
Location C,19.28,64,v2.0,0.43,0.8,No Maintenance Needed,285.31
Location D,21.72,54,v1.0,0.18,1.08,Software Update/Reset,17.2
Location A,25.04,58,v2.0,0.96,0.84,Cable Inspection/Replacement,12.54
Location B,16.76,68,v1.1,0.11,0.4,Software Update/Reset,30.58
Location B,28.12,54,v2.0,0.99,1.46,Cable Inspection/Replacement,6.38
Location A,35.22,60,v1.0,0.84,0.54,Software Update/Reset,37.72
Location C,20.74,51,v2.0,0.42,0.97,No Maintenance Needed,284.87
Location B,40.15,58,v2.0,0.74,1.08,No Maintenance Needed,256.45
Location B,32.09,67,v2.0,0.67,1.01,No Maintenance Needed,192.59
Location B,36.24,62,v1.1,0.21,1.79,Software Update/Reset,37.25
Location A,22.74,68,v2.0,0.34,0.97,No Maintenance Needed,302.88
Location D,34.84,65,v1.0,0.51,1.24,Software Update/Reset,33.2
Location B,19.26,55,v2.0,0.64,0.97,No Maintenance Needed,200.24
Location D,35.12,60,v2.0,0.54,1.36,No Maintenance Needed,202.01
Location C,29.37,54,v2.0,0.47,2.01,No Maintenance Needed,249.05
Location B,32.43,67,v2.0,0.44,1.07,No Maintenance Needed,330.02
Location B,18.6,63,v1.0,0.5,1.48,Software Update/Reset,41.47
Location C,20.84,54,v2.0,0.43,2.07,No Maintenance Needed,358.67
